column,missing_count,missing_percent
unplanned_hospital_visits_text,835,100.0
scraping_error,835,100.0
timely_and_effective_care_text,835,100.0
psychiatric_unit_services_text,835,100.0
payment_text,835,100.0
patient_reported_outcomes_text,835,100.0
maternal_health_text,835,100.0
complications_and_deaths_text,835,100.0
birthing_friendly,428,51.26
overall_rating_raw,239,28.62
patient_survey_rating_raw,239,28.62
all_star_rating_labels,239,28.62
patient_survey_rating,239,28.62
overall_rating,239,28.62
affiliated_clinicians,184,22.04
address,0,0.0
hospital_name,0,0.0
city,0,0.0
provider_id,0,0.0
profile_url,0,0.0
data_last_updated,0,0.0
quality_section_text,0,0.0
quality_categories,0,0.0
phone_number,0,0.0
zip_code,0,0.0
emergency_services,0,0.0
hospital_type,0,0.0
state,0,0.0
scraped_at,0,0.0
scraping_status,0,0.0
hospital_ownership,0,0.0
county,0,0.0
mort_group_measure_count,0,0.0
facility_mort_measures,0,0.0
mort_better,0,0.0
mort_no_different,0,0.0
mort_worse,0,0.0
safety_group_measure_count,0,0.0
facility_safety_measures,0,0.0
safety_better,0,0.0
safety_no_different,0,0.0
safety_worse,0,0.0
readm_group_measure_count,0,0.0
facility_readm_measures,0,0.0
readm_better,0,0.0
readm_no_different,0,0.0
readm_worse,0,0.0
patient_exp_group_measure_count,0,0.0
facility_patient_exp_measures,0,0.0
te_group_measure_count,0,0.0
facility_te_measures,0,0.0
